天津联通,#genre#
经典重温,http://nas.hssvm.com:8888/udp/225.0.2.122:5000
经典老片场,http://nas.hssvm.com:8888/udp/225.2.1.244:5000
银发生活,http://nas.hssvm.com:8888/udp/225.2.1.157:5000
健康直通车,http://nas.hssvm.com:8888/udp/225.0.2.183:5000
潮流音乐,http://nas.hssvm.com:8888/udp/225.0.2.55:5000
快乐英语ABC,http://nas.hssvm.com:8888/udp/225.0.2.182:5000
宝贝爱学,http://nas.hssvm.com:8888/udp/225.2.1.132:5000
曲艺大观,http://nas.hssvm.com:8888/udp/225.0.2.53:5000
食全食美,http://nas.hssvm.com:8888/udp/225.2.1.108:5000
爱心购,http://nas.hssvm.com:8888/udp/225.0.2.132:5000
天视家居,http://nas.hssvm.com:8888/udp/225.2.1.243:5000
天视文旅,http://nas.hssvm.com:8888/udp/225.0.2.123:5000
IPTV5+,http://nas.hssvm.com:8888/udp/225.2.1.106:5000
IPTV足球 SD,http://nas.hssvm.com:8888/udp/225.2.1.105:5000
精彩影视,http://nas.hssvm.com:8888/udp/225.2.1.141:5000
901 SD,http://nas.hssvm.com:8888/udp/225.2.1.78:5000
902,http://nas.hssvm.com:8888/udp/225.2.1.79:5000
百视通体育1,http://nas.hssvm.com:8888/udp/225.2.1.162:5000
百视通体育2,http://nas.hssvm.com:8888/udp/225.2.1.163:5000
百视通体育3,http://nas.hssvm.com:8888/udp/225.2.1.164:5000
百视通体育4,http://nas.hssvm.com:8888/udp/225.2.1.165:5000
百视通体育5,http://nas.hssvm.com:8888/udp/225.2.1.166:5000
百视通体育6,http://nas.hssvm.com:8888/udp/225.2.1.167:5000
百视通体育7,http://nas.hssvm.com:8888/udp/225.2.1.168:5000
百视通体育8,http://nas.hssvm.com:8888/udp/225.2.1.169:5000
百视通体育9,http://nas.hssvm.com:8888/udp/225.2.1.170:5000
百视通体育10,http://nas.hssvm.com:8888/udp/225.2.1.211:5000
咪咕体育1,http://nas.hssvm.com:8888/udp/225.0.2.208:5000
咪咕体育2,http://nas.hssvm.com:8888/udp/225.0.2.209:5000
咪咕体育3,http://nas.hssvm.com:8888/udp/225.0.2.210:5000
